School,Address,Rating,Type,Enrollment,Students per Teacher,,,,
Burning Tree Elementary,"7900 Beech Tree Road, Bethesda, MD, 20817",10,E,473,13,,,,
Spark M. Matsunaga Elementary School,"13902 Bromfield Road, Germantown, MD, 20874",9,E,728,17,,,,
Bannockburn Elementary,"6520 Dalroy Lane, Bethesda, MD, 20817",9,E,440,17,,,,
Bells Mill Elementary,"8225 Bells Mill Road, Potomac, MD, 20854",9,E,619,16,,,,
Cold Spring Elementary,"9201 Falls Chapel Way, Potomac, MD, 20854",9,E,330,16,,,,
Farmland Elementary,"7000 Old Gate Road, Rockville, MD, 20852",9,E,830,16,,,,
Lakewood Elementary,"2534 Lindley Terrace, Rockville, MD, 20850",9,E,476,16,,,,
Seven Locks Elementary,"9500 Seven Locks Road, Bethesda, MD, 20817",9,E,429,15,,,,
Travilah Elementary,"13801 Dufief Mill Road, North Potomac, MD, 20878",9,E,358,15,,,,
Westbrook Elementary,"5110 Allan Terrace, Bethesda, MD, 20816",9,E,348,12,,,,
Westover Elementary,"401 Hawkesbury Lane, Silver Spring, MD, 20904",9,E,308,12,,,,
Wood Acres Elementary,"5800 Cromwell Drive, Bethesda, MD, 20816",9,E,660,16,,,,
Woodfield Elementary,"24200 Woodfield Road, Gaithersburg, MD, 20882",9,E,339,12,,,,
Wyngate Elementary,"9300 Wadsworth Drive, Bethesda, MD, 20817",9,E,728,19,,,,
Little Bennett Elementary,"23930 Burdette Forest Road, Clarksburg, MD, 20871",8,E,614,14,,,,
Wilson Wims Elementary School,"12520 Blue Sky Drive, Clarksburg, MD, 20871",8,E,1244,18,,,,
Lois P. Rockwell Elementary,"24555 Cutsail Drive, Damascus, MD, 20872",8,E,474,13,,,,
Belmont Elementary,"19528 Olney Mill Road, Olney, MD, 20832",8,E,333,16,,,,
Bethesda Elementary,"7600 Arlington Road, Bethesda, MD, 20814",8,E,650,14,,,,
Beverly Farms Elementary,"8501 Postoak Road, Potomac, MD, 20854",8,E,585,16,,,,
Carderock Springs Elementary,"7401 Persimmon Tree Lane, Bethesda, MD, 20817",8,E,361,14,,,,
Cedar Grove Elementary,"24001 Ridge Road, Germantown, MD, 20876",8,E,613,16,,,,
