School,Rating,Type
burning tree elementary,10.0,E
spark m. matsunaga elementary,9.0,E
bannockburn elementary,9.0,E
bells mill elementary,9.0,E
cold spring elementary,9.0,E
farmland elementary,9.0,E
lakewood elementary,9.0,E
seven locks elementary,9.0,E
travilah elementary,9.0,E
westbrook elementary,9.0,E
westover elementary,9.0,E
wood acres elementary,9.0,E
woodfield elementary,9.0,E
wyngate elementary,9.0,E
little bennett elementary,8.0,E
wilson wims elementary,8.0,E
lois p. rockwell elementary,8.0,E
belmont elementary,8.0,E
bethesda elementary,8.0,E
beverly farms elementary,8.0,E
carderock springs elementary,8.0,E
cedar grove elementary,8.0,E
chevy chase elementary,8.0,E
diamond elementary,8.0,E
fallsmead elementary,8.0,E
forest knolls elementary,8.0,E
lucy v. barnsley elementary,8.0,E
luxmanor elementary,8.0,E
monocacy elementary,8.0,E
kensington parkwood elementary,8.0,E
poolesville elementary,8.0,E
potomac elementary,8.0,E
somerset elementary,8.0,E
wayside elementary,8.0,E
stone mill elementary,8.0,E
dr. charles r. drew elementary,8.0,E
sligo creek elementary,7.0,E
william b. gibbs jr. elementary,7.0,E
jones lane elementary,7.0,E
bradley hills elementary,7.0,E
cashell elementary,7.0,E
dufief elementary,7.0,E
flower valley elementary,7.0,E
fox chapel elementary,7.0,E
greenwood elementary,7.0,E
laytonsville elementary,7.0,E
olney elementary,7.0,E
piney branch elementary,7.0,E
ritchie park elementary,7.0,E
rock creek forest elementary,7.0,E
sherwood elementary,7.0,E
stonegate elementary,7.0,E
william tyler page elementary,7.0,E
woodlin elementary,7.0,E
north chevy chase elementary,7.0,E
clearspring elementary,7.0,E
brooke grove elementary,7.0,E
rachel carson elementary,7.0,E
ronald a. mcnair elementary,7.0,E
sargent shriver elementary,6.0,E
thurgood marshall elementary,6.0,E
ashburton elementary,6.0,E
joann leleck at broad acres elementary,6.0,E
brookhaven elementary,6.0,E
candlewood elementary,6.0,E
clarksburg elementary,6.0,E
darnestown elementary,6.0,E
