Census 5-Digit ZCTA Code,State FIPS Code,Census Identifier,FIPS Class Code,Feature Class Code,Functional Code,Zip Code (Number),State,Census Land Area (m),Census Water Area (m),Total Population,Total Housing Units,Non Hispanic White Persons,Non Hispanic Black Persons,Non Hispanic American Indian Persons,Non Hispanic Asian Persons,Non Hispanic Native Hawaiian Persons,Non Hispanic Other Race Persons,Non Hispanic total Persons,Hispanic Persons,Percent Non Hispanic White,Percent Non Hispanic Black,Percent Non Hispanic American Indian,Percent non Hispanic Asian,Percent Non Hispanic Native Hawaiian,Percent Non Hispanic Other,Percent Non Hispanic Total,Percent Hispanic,Persons Over 65,Percent Over 65,Median Age,Vacant Units,Percent Vacant,Homeowner Rate,Percent Homeowner Without Mortgage,Percent Rent,Percent Population Under 18,ZCTA Report 1,ZCTA Report 2
20601,24,2420601,B5,G6350,S,"20,601.00",24,"115,635,266.00","387,684.00","24,156.00","8,722.00","9,785.00","11,146.00",155,880,11,48,849,"1,282.00",40.5,46.1,0.6,3.6,0,0.2,3.5,5.3,"1,922.00",8,37.3,376,4.3,71.1,11.2,19.9,30.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20601.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20601.pdf
20602,24,2420602,B5,G6350,S,"20,602.00",24,"35,830,723.00","352,762.00","24,955.00","9,736.00","8,466.00","13,054.00",116,731,15,58,999,"1,516.00",33.9,52.3,0.5,2.9,0.1,0.2,4,6.1,"1,964.00",7.9,32.6,769,7.9,59.7,9,34.4,43.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20602.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20602.pdf
20603,24,2420603,B5,G6350,S,"20,603.00",24,"44,239,637.00","219,356.00","28,967.00","10,317.00","9,625.00","15,025.00",98,"1,446.00",24,65,"1,091.00","1,593.00",33.2,51.9,0.3,5,0.1,0.2,3.8,5.5,"1,400.00",4.8,34.5,531,5.1,73.8,4.7,22.6,29.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20603.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20603.pdf
20606,24,2420606,B5,G6350,S,"20,606.00",24,"7,501,011.00","1,248,760.00",431,230,377,45,1,4,0,0,0,4,87.5,10.4,0.2,0.9,0,0,0,0.9,108,25.1,49.1,15,6.5,49.7,39.3,18.1,31.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20606.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20606.pdf
20607,24,2420607,B5,G6350,S,"20,607.00",24,"54,357,590.00","448,221.00","9,802.00","3,504.00","2,165.00","6,321.00",33,560,3,6,234,480,22.1,64.5,0.3,5.7,0,0.1,2.4,4.9,847,8.6,40.9,172,4.9,83.1,10.3,7.4,22.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20607.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20607.pdf
20608,24,2420608,B5,G6350,S,"20,608.00",24,"45,583,064.00","5,330,329.00",919,426,438,453,5,2,0,0,9,12,47.7,49.3,0.5,0.2,0,0,1,1.3,173,18.8,46.6,39,9.2,60.4,28.2,15.9,14.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20608.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20608.pdf
20609,24,2420609,B5,G6350,S,"20,609.00",24,"25,723,294.00","6,602,735.00","1,120.00",554,"1,009.00",82,2,1,1,0,15,10,90.1,7.3,0.2,0.1,0.1,0,1.3,0.9,271,24.2,47.6,32,5.8,44.8,38.7,27,28.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20609.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20609.pdf
20611,24,2420611,B5,G6350,S,"20,611.00",24,"18,243,786.00","33,481.00","1,078.00",413,798,215,5,10,0,0,33,17,74,19.9,0.5,0.9,0,0,3.1,1.6,129,12,44.3,22,5.3,63.8,21.8,18.3,24.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20611.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20611.pdf
20612,24,2420612,B5,G6350,S,"20,612.00",24,"604,744.00","1,337,569.00",261,142,245,12,0,0,0,0,1,3,93.9,4.6,0,0,0,0,0.4,1.1,54,20.7,47.3,14,9.9,38.3,43.9,31.7,43.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20612.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20612.pdf
20613,24,2420613,B5,G6350,S,"20,613.00",24,"195,821,362.00","3,726,835.00","11,860.00","4,424.00","4,044.00","6,786.00",106,186,4,8,321,405,34.1,57.2,0.9,1.6,0,0.1,2.7,3.4,"1,372.00",11.6,40.8,249,5.6,73.9,17.4,10.5,26.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20613.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20613.pdf
20615,24,2420615,B5,G6350,S,"20,615.00",24,"1,883,242.00","220,896.00",405,204,352,32,2,3,1,0,13,2,86.9,7.9,0.5,0.7,0.2,0,3.2,0.5,73,18,42.4,18,8.8,60.9,25.2,18.6,25.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20615.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20615.pdf
20616,24,2420616,B5,G6350,S,"20,616.00",24,"25,397,165.00","3,717,651.00","5,857.00","2,203.00","1,891.00","3,309.00",32,165,2,1,213,244,32.3,56.5,0.5,2.8,0,0,3.6,4.2,553,9.4,36.3,158,7.2,70.1,17.4,15.1,35.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20616.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20616.pdf
20617,24,2420617,B5,G6350,S,"20,617.00",24,"16,949,455.00","17,679.00",781,301,587,163,3,5,0,0,14,9,75.2,20.9,0.4,0.6,0,0,1.8,1.2,174,22.3,47.8,8,2.7,63.9,31.4,6.9,22.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20617.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20617.pdf
