Census 5-Digit ZCTA Code,Percent Non Hispanic White,Percent Non Hispanic Black,Percent non Hispanic Asian,Percent Hispanic
20601,40.5,46.1,3.6,5.3
20602,33.9,52.3,2.9,6.1
20603,33.2,51.9,5.0,5.5
20606,87.5,10.4,0.9,0.9
20607,22.1,64.5,5.7,4.9
20608,47.7,49.3,0.2,1.3
20609,90.1,7.3,0.1,0.9
20611,74.0,19.9,0.9,1.6
20612,93.9,4.6,0.0,1.1
20613,34.1,57.2,1.6,3.4
20615,86.9,7.9,0.7,0.5
20616,32.3,56.5,2.8,4.2
20617,75.2,20.9,0.6,1.2
20618,86.2,10.7,0.2,1.2
20619,76.8,10.6,3.8,5.2
20620,73.3,15.9,3.3,2.6
20621,66.4,30.1,0.1,0.7
20622,81.6,14.2,0.6,1.8
20623,13.5,79.7,1.4,2.1
20624,89.3,9.2,0.1,0.5
20625,91.4,3.1,0.6,1.7
20626,90.3,5.6,0.0,1.9
20628,87.5,6.7,0.7,3.4
20629,86.9,7.1,2.4,2.4
20630,82.5,14.9,1.1,0.6
20632,83.3,9.8,1.2,2.0
20634,62.9,22.5,4.6,6.1
20636,87.4,6.6,1.6,2.2
20637,74.7,17.9,1.8,2.3
20639,81.7,11.2,2.0,2.4
20640,46.3,43.8,2.5,2.9
20645,88.4,7.6,0.7,1.3
20646,72.3,19.9,2.0,2.9
20650,84.1,8.2,2.6,2.7
20653,57.2,27.1,4.1,6.6
20657,75.4,16.3,1.1,3.7
20658,61.5,31.6,0.4,3.3
20659,87.6,7.7,0.7,1.7
20660,91.8,7.2,0.0,0.0
20662,61.5,33.9,0.3,1.2
20664,74.3,19.7,0.6,2.0
20667,61.3,33.0,1.0,2.0
20670,63.8,16.7,2.0,12.0
20674,80.6,9.3,3.1,3.0
20675,61.8,27.4,2.0,3.4
20676,81.4,13.3,1.1,2.3
20677,75.2,18.9,1.6,1.8
20678,71.4,21.8,1.4,2.3
20680,83.8,11.0,0.8,1.9
20684,81.9,12.5,0.4,3.1
20685,83.9,10.5,0.5,3.0
20686,80.9,7.0,3.3,5.0
20687,86.6,6.7,1.6,1.3
20688,88.7,6.9,1.4,1.2
20689,67.7,25.7,0.6,3.9
20690,89.1,2.7,2.8,3.5
20692,85.9,9.1,0.5,1.5
20693,83.8,11.9,0.3,0.9
20695,46.1,43.4,2.5,4.0
20701,50.0,50.0,0.0,0.0
