,zpid,zipcode,city,state,latitude,longitude,price,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit
0,37151520,20854,Potomac,MD,39.043986,-77.256456,800000.0,1625641200000,4.0,5.0,3650.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,809700.0,4250.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,1081300.0,5.1,acres
1,246554034,20814,Bethesda,MD,39.022005,-77.107586,800000.0,1617606000000,1.0,2.0,1400.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,636600.0,2499.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,507900.0,0.25,acres
2,37181535,20816,Bethesda,MD,38.958795,-77.11189,800000.0,1624604400000,3.0,4.0,2390.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,812000.0,4364.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,721567.0,8750.0,sqft
3,37182564,20817,Bethesda,MD,38.974071,-77.131494,800000.0,1604563200000,3.0,4.0,1826.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,867900.0,4058.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,697767.0,9148.0,sqft
4,37096069,20854,Potomac,MD,39.041634,-77.172128,800000.0,1620370800000,3.0,4.0,2810.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,815700.0,3249.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,611000.0,9811.0,sqft
5,37172594,20817,Bethesda,MD,38.999271,-77.11395,800000.0,1627282800000,5.0,5.0,2700.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,806500.0,5269.0,{'is_newHome': True},False,False,FOR_SALE,1625000.0,True,True,False,USD,USA,801500.0,6900.0,sqft
6,37286594,20910,Silver Spring,MD,39.003488,-77.038573,800000.0,1613980800000,4.0,3.0,2304.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,842700.0,3270.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,534800.0,6570.0,sqft
7,37282676,20910,Silver Spring,MD,38.998174,-77.016036,800000.0,1610092800000,3.0,4.0,1900.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,848800.0,2856.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,617567.0,6604.0,sqft
8,37173681,20815,Chevy Chase,MD,39.0,-77.076248,800000.0,1609142400000,2.0,5.0,2115.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,858700.0,3652.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,658567.0,0.3792929292929293,acres
9,37181682,20815,Chevy Chase,MD,38.980442,-77.063683,800000.0,1616050800000,3.0,3.0,1913.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,836000.0,3599.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,715233.0,8679.0,sqft
10,37171463,20814,Bethesda,MD,38.996664,-77.092721,800000.0,1628751600000,2.0,3.0,1714.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,803800.0,3182.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,672167.0,5334.0,sqft
11,97461682,20817,Bethesda,MD,38.991524,-77.151897,800000.0,1611734400000,,,1543.0,CONDO,RECENTLY_SOLD,-1,False,False,822400.0,3149.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,730000.0,,
12,37179698,20817,Bethesda,MD,39.00154,-77.128816,800000.0,1628233200000,3.0,4.0,2432.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,804700.0,3800.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,823733.0,7026.0,sqft
13,37117711,20852,Rockville,MD,39.042404,-77.118359,800000.0,1624950000000,3.0,3.0,1822.0,CONDO,RECENTLY_SOLD,-1,False,False,811100.0,3151.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,620000.0,,
14,37172223,20816,Bethesda,MD,38.959571,-77.127508,800000.0,1605168000000,1.0,,867.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,871100.0,4440.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,569067.0,0.3013085399449036,acres
15,37297235,20895,Kensington,MD,39.027261,-77.082807,800000.0,1603695600000,3.0,3.0,2168.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,875600.0,3200.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,681467.0,8444.0,sqft
16,37261236,20854,Potomac,MD,39.023326,-77.165493,800000.0,1610006400000,3.0,5.0,2464.0,TOWNHOUSE,RECENTLY_SOLD,-1,False,False,867600.0,3799.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,710633.0,4230.0,sqft
17,37292249,20895,Kensington,MD,39.018616,-77.067978,800000.0,1606723200000,3.0,4.0,2245.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,866300.0,3454.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,719967.0,0.3082415059687787,acres
18,37175801,20816,Bethesda,MD,38.950453,-77.099555,800000.0,1613635200000,2.0,,1248.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,954000.0,3099.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,619867.0,6252.0,sqft
19,37186302,20816,Bethesda,MD,38.953822,-77.09996,800000.0,1601449200000,3.0,3.0,1796.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,882200.0,3528.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,754167.0,7298.0,sqft
20,37261841,20854,Potomac,MD,39.039756,-77.206969,800000.0,1616396400000,3.0,4.0,2450.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,834900.0,3734.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,682333.0,10125.0,sqft
21,37265842,20854,Potomac,MD,38.986835,-77.223895,800000.0,1628233200000,4.0,3.0,2898.0,TOWNHOUSE,RECENTLY_SOLD,-1,False,False,804700.0,3528.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,615733.0,2040.0,sqft
22,241914865,20817,Bethesda,MD,39.026203,-77.13656,800000.0,1606118400000,4.0,3.0,1850.0,TOWNHOUSE,RECENTLY_SOLD,-1,False,False,868200.0,3270.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,819900.0,915.0,sqft
23,331605371,20895,Kensington,MD,39.015963,-77.082255,800000.0,1606723200000,,,,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,,1599.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,500500.0,0.29127640036730945,acres
24,37188874,20817,Bethesda,MD,38.971098,-77.135401,800000.0,1601622000000,2.0,3.0,1720.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,873000.0,3835.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,734000.0,0.26671258034894396,acres
25,37282905,20910,Silver Spring,MD,38.995635,-77.022363,800000.0,1602831600000,3.0,4.0,2160.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,878200.0,3343.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,560567.0,8683.0,sqft
26,37193409,20815,Chevy Chase,MD,38.97721,-77.098189,800000.0,1604908800000,3.0,3.0,1665.0,TOWNHOUSE,RECENTLY_SOLD,-1,False,False,872000.0,3800.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,650000.0,,
27,37120425,20852,Rockville,MD,39.036047,-77.123483,800000.0,1624518000000,4.0,3.0,2195.0,TOWNHOUSE,RECENTLY_SOLD,-1,False,False,812200.0,3270.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,632100.0,2832.0,sqft
28,37186928,20815,Chevy Chase,MD,39.0013,-77.078562,800000.0,1601362800000,3.0,4.0,1311.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,899200.0,3300.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,625067.0,6748.0,sqft
29,37085503,20876,Germantown,MD,39.213748,-77.247062,800000.0,1602572400000,5.5,7.0,5000.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,878900.0,4229.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,822233.0,3.5,acres
30,37102586,20854,Potomac,MD,39.062719,-77.171532,800000.0,1630479600000,3.0,4.0,2392.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,800800.0,2834.0,{},False,False,RECENTLY_SOLD,800000.0,True,False,False,USD,USA,551100.0,9200.0,sqft
